Mother Tongue,Total - Age,  0 to 4 years,  5 to 9 years,  10 to 14 years,  15 to 19 years,  20 to 24 years,  25 to 29 years,  30 to 34 years,  35 to 39 years,  40 to 44 years,  45 to 49 years,  50 to 54 years,  55 to 59 years,  60 to 64 years,  65 to 69 years,  70 to 74 years,  75 to 79 years,  80 to 84 years,  85 to 89 years,  90 to 94 years,  95 to 99 years,  100 years and over
          Ojibway,17625,485,465,600,720,745,710,870,1105,1535,1955,2095,1925,1635,1140,815,460,215,130,35,0,0
          Oji-Cree,9835,1115,945,825,895,830,745,715,730,770,640,495,370,275,200,160,80,35,15,0,0,0
"          Algonquian languages, n.i.e.",60,0,0,0,5,5,5,10,0,5,5,0,10,5,5,0,5,5,0,0,0,0
        Michif,450,0,0,0,5,5,5,5,15,30,55,65,65,55,55,45,20,15,5,5,0,0
        Athapaskan languages,19210,1370,1110,1150,1395,1445,1215,1210,1300,1555,1545,1420,1150,1065,775,635,410,255,120,65,10,0
          Carrier,1290,30,20,30,45,35,40,55,80,100,140,140,145,135,90,80,60,25,20,5,0,0
          Wetsuweten,120,0,0,0,0,0,0,0,0,5,10,15,20,20,20,15,10,0,0,0,0,0
          Chilcotin,765,20,10,10,30,30,20,30,50,75,105,85,75,75,50,25,35,30,15,5,0,0
          Dene,11220,1130,875,885,1015,1070,835,755,760,840,715,620,455,440,305,230,140,95,35,15,0,0
          Tlicho (Dogrib),2030,115,105,125,140,150,150,175,165,205,180,170,115,80,50,55,30,15,15,5,5,0
          Gwich'in,355,0,5,0,15,10,15,15,15,20,25,35,35,30,50,40,25,15,10,5,5,0
          North Slavey (Hare),220,0,0,0,5,10,15,25,15,20,25,25,20,15,15,10,10,5,0,5,0,0
          South Slavey,510,30,20,25,20,30,25,35,55,55,55,45,40,35,25,10,10,5,5,5,0,0
"          Slavey, n.o.s.",1530,30,45,55,90,70,80,70,110,145,180,150,125,140,85,70,50,30,15,10,0,0
          Sarcee,155,5,5,5,10,10,10,10,5,15,5,15,15,15,5,5,10,5,0,0,0,0
          Beaver,245,5,10,5,5,20,10,15,10,30,30,30,20,15,15,10,10,5,0,0,0,0
          Sekani,50,0,0,0,0,0,5,0,0,5,5,5,10,5,5,5,0,0,0,0,0,0
          Kaska (Nahani),255,5,0,10,10,10,5,10,20,30,25,40,25,10,20,15,5,5,0,0,0,0
          Tahltan,100,0,0,0,5,5,0,5,0,0,5,10,5,15,5,15,5,10,0,5,0,0
          Northern Tutchone,175,0,0,0,0,5,5,0,5,10,25,20,30,15,20,15,15,5,0,5,0,0
          Southern Tutchone,110,5,0,0,0,0,5,0,5,5,10,10,15,15,5,10,10,5,0,0,0,0
"          Tutchone, n.o.s.",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Athapaskan languages, n.i.e.",70,5,0,0,5,0,5,0,5,5,5,10,5,10,5,5,5,0,0,0,0,0
        Haida,45,0,0,0,0,0,0,0,0,0,0,5,5,5,10,5,5,5,5,0,0,0
        Iroquoian languages,855,25,35,35,45,55,40,40,30,45,60,80,90,65,70,55,30,20,15,10,0,0
          Mohawk,410,10,20,20,30,25,25,15,15,20,25,40,45,30,30,25,10,5,5,5,0,0
          Cayuga,210,10,15,10,10,20,10,15,5,10,15,20,15,20,15,5,5,5,0,5,0,0
          Oneida,160,5,5,5,5,5,5,5,5,5,15,15,15,20,25,15,5,5,0,0,0,0
"          Iroquoian languages, n.i.e.",75,0,0,0,0,5,5,0,5,5,0,10,10,5,10,5,5,0,0,0,0,0
        Kutenai,85,0,0,0,0,0,5,5,5,5,5,5,15,15,10,5,5,0,5,0,0,0
        Salish languages,2435,60,70,70,65,80,75,60,85,125,175,210,270,295,300,225,140,90,40,15,5,0
          Shuswap (Secwepemctsin),570,10,10,15,10,25,10,15,15,25,45,65,65,60,75,45,30,15,10,5,0,0
          Thompson (Ntlakapamux),370,10,5,5,5,0,10,0,10,10,25,35,50,55,50,35,20,25,5,5,0,0
          Halkomelem,450,10,10,20,15,15,25,15,20,30,25,35,45,45,55,40,30,15,5,0,0,0
          Lillooet,255,5,5,5,0,5,5,5,0,15,15,15,35,45,35,20,20,10,5,0,0,0
          Okanagan,285,5,15,5,10,10,5,10,10,15,25,10,30,20,40,40,20,5,0,0,0,0
          Squamish,55,0,5,0,0,5,0,0,5,0,5,5,0,5,5,5,5,0,0,0,0,0
          Straits,140,15,15,15,15,15,10,0,5,10,10,10,5,5,5,10,5,0,0,0,0,0
