Mother tongue,Total - Age,  0 to 4 years,  5 to 9 years,  10 to 14 years,  15 to 19 years,  20 to 24 years,  25 to 29 years,  30 to 34 years,  35 to 39 years,  40 to 44 years,  45 to 49 years,  50 to 54 years,  55 to 59 years,  60 to 64 years,  65 to 69 years,  70 to 74 years,  75 to 79 years,  80 to 84 years,  85 to 89 years,  90 to 94 years,  95 to 99 years,  100 years and over
          Northern Athabaskan languages,17320,865,1000,880,985,1130,1135,1090,1070,1150,1410,1480,1340,1150,980,675,490,305,130,45,15,5
            Carrier,1030,5,10,5,20,20,30,30,30,55,105,120,135,155,105,75,50,50,20,5,0,0
            Babine (Wetsuwet'en),115,0,0,5,0,0,0,0,0,10,5,10,10,15,20,20,15,0,0,0,0,0
            Beaver,190,0,5,5,5,5,5,5,5,15,25,30,30,20,20,5,10,5,5,0,0,0
            Chilcotin,655,5,15,10,15,25,20,10,35,50,85,85,65,75,55,50,35,20,5,5,0,0
            Dene,10700,770,865,750,805,900,860,780,660,695,725,770,625,470,440,250,190,90,40,15,0,0
            Dogrib (Tlicho),1645,45,45,45,70,85,100,110,175,160,205,145,140,100,80,60,30,25,15,5,5,0
            Gwich'in,260,10,0,5,5,10,10,10,5,5,10,15,30,25,30,30,25,20,5,5,0,0
            Sarsi (Sarcee),80,0,5,10,0,5,5,5,10,5,5,5,5,5,0,0,5,0,0,0,0,0
            Sekani,90,0,5,0,0,0,0,0,0,5,0,10,5,25,5,15,5,0,0,0,0,0
            Slavey-Hare languages,1990,25,30,35,45,75,95,115,135,140,220,230,215,195,160,105,90,60,25,5,0,0
              North Slavey (Hare),765,15,5,15,20,35,45,55,60,45,75,80,80,65,60,35,35,30,10,0,0,0
              South Slavey,945,5,20,15,20,30,40,45,60,65,115,120,120,105,70,40,35,25,10,5,0,0
